dm_sendTime,dm_time,dm_userId,dm_color,dm_mode,dm_fontSize,dm_text
2019-07-27 23:38:47,0:01:55.095000,d2d530f9,"(255, 255, 255)",1,25,自由自在没有烦恼
2019-07-27 23:38:43,0:03:14.101000,bf6d1b0d,"(0, 152, 67)",5,25,哭了，泪目。
2019-07-27 23:38:42,0:00:22.806000,f01a148,"(255, 255, 255)",1,25,我哭了
2019-07-27 23:38:39,0:00:03.304000,58b14d91,"(255, 255, 255)",1,25,泪目
2019-07-27 23:38:38,0:01:08.649000,f81e9d43,"(255, 255, 255)",1,25,泪目
2019-07-27 23:38:35,0:00:06.841000,4bd162f4,"(255, 255, 255)",1,25,立场黄队
2019-07-27 23:38:33,0:02:49.134000,c6f9d08f,"(255, 255, 255)",1,25,泪目
2019-07-27 23:38:33,0:02:15.767000,a83a5bff,"(255, 255, 255)",1,25,泪目
2019-07-27 23:38:27,0:02:30.013000,fbf0792c,"(255, 255, 255)",1,25,坚持做自己喜欢的事情
2019-07-27 23:37:08,0:00:18.439000,1161346e,"(231, 0, 18)",5,25,我能发置顶了！！！
2019-07-27 23:36:52,0:01:00.226000,81326faf,"(255, 255, 255)",1,25,skr
2019-07-27 23:36:50,0:00:08.441000,1161346e,"(231, 0, 18)",5,25,哭了
2019-07-27 23:36:50,0:00:32.842000,a83a5bff,"(255, 255, 255)",1,25,雷姆
2019-07-27 23:36:29,0:03:02.227000,2b91c876,"(255, 255, 255)",1,25,是不是我没把你照顾好
2019-07-27 23:36:24,0:00:40.179000,6c760d74,"(255, 255, 255)",1,25,泪目
2019-07-27 23:36:23,0:00:12.998000,93038c03,"(255, 255, 255)",1,25,第二遍想哭
2019-07-27 23:36:11,0:00:28.535000,d00daa91,"(255, 255, 255)",1,25,泪目
2019-07-27 23:36:08,0:00:28.851000,6c760d74,"(255, 255, 255)",1,25,再亿遍
2019-07-27 23:35:46,0:00:01.390000,46afb925,"(0, 205, 0)",5,25,精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩
2019-07-27 23:35:20,0:00:55.290000,c16932b6,"(254, 241, 2)",1,25,庆幸我的童年是海绵宝宝而不是……
2019-07-27 23:35:16,0:00:55.336000,294764d0,"(0, 152, 67)",5,25,因为天才生来孤独
2019-07-27 23:35:07,0:03:34.851000,49ede409,"(254, 241, 2)",1,25,欢乐是如何消失的呢海绵宝宝
2019-07-27 23:35:02,0:00:09.358000,6c5e855e,"(255, 255, 255)",1,25,太好看了
2019-07-27 23:34:58,0:02:27.496000,183d7428,"(226, 2, 127)",5,25,坚持做自己喜欢的事情
2019-07-27 23:34:58,0:00:25.904000,46afb925,"(0, 205, 0)",5,25,精彩
2019-07-27 23:34:42,0:00:48.918000,f272c62e,"(231, 0, 18)",5,25,因为天才生来孤独
2019-07-27 23:34:38,0:00:48.918000,f272c62e,"(231, 0, 18)",5,25,因为天才生来孤独
2019-07-27 23:34:38,0:01:08.408000,bf7ea3e7,"(255, 255, 255)",1,25,泪目
2019-07-27 23:34:35,0:02:04.568000,2b91c876,"(255, 255, 255)",1,25,泪目
2019-07-27 23:34:33,0:00:19.279000,529bb8cd,"(255, 255, 255)",1,25,终于打赢蕾丝了
2019-07-27 23:34:29,0:03:13.939000,83e32f8,"(255, 255, 255)",1,25,泪目
2019-07-27 23:34:25,0:00:47.931000,319e0898,"(255, 255, 255)",1,25,保护
2019-07-27 23:34:12,0:01:56.776000,183d7428,"(226, 2, 127)",5,25,自由自在，没有烦恼
2019-07-27 23:34:12,0:00:52.489000,8c6b22cc,"(255, 255, 255)",1,25,因为天才生来孤独
2019-07-27 23:33:52,0:00:16.862000,c16932b6,"(255, 255, 255)",1,25,笑着笑着就忍不住了…… 
2019-07-27 23:33:36,0:01:54.898000,183d7428,"(255, 255, 255)",1,25,自由自在，没有烦恼
2019-07-27 23:33:05,0:00:26.157000,b3e21884,"(255, 255, 255)",1,25,第二遍
2019-07-27 23:32:38,0:02:09.129000,77eb4983,"(231, 0, 18)",1,25,泪目
2019-07-27 23:32:23,0:03:28.898000,97e303b8,"(255, 255, 255)",1,25,泪目
2019-07-27 23:31:51,0:02:59.598000,97e303b8,"(255, 255, 255)",1,25,是不是我没把你照顾好
2019-07-27 23:31:41,0:00:03.501000,b989e88d,"(255, 255, 255)",5,25,目测播放能上八百万
2019-07-27 23:31:29,0:00:08.189000,3cb27b02,"(255, 255, 255)",1,25,艺术就是派大星
2019-07-27 23:31:24,0:03:01.174000,cf8b49ca,"(255, 255, 255)",1,25,to投票了
2019-07-27 23:31:20,0:00:05.757000,7b40196f,"(255, 255, 255)",1,25,贡献弹幕
2019-07-27 23:31:16,0:00:55.921000,5b17ee3,"(255, 255, 255)",1,25,三连给了
2019-07-27 23:31:12,0:00:26.938000,e20bc7b1,"(255, 255, 255)",1,25,绿队，对不起了
2019-07-27 23:30:45,0:03:09.649000,50f701fb,"(255, 255, 255)",1,25,我的童年啊啊啊啊啊啊啊啊
2019-07-27 23:30:43,0:00:28.918000,d0bae09f,"(254, 3, 2)",5,25,"Hello,树先生。。。"
2019-07-27 23:30:41,0:01:06.059000,5ac3776a,"(254, 241, 2)",1,25,派大星真的是个人物
2019-07-27 23:30:15,0:01:51.300000,8780affc,"(255, 255, 255)",1,25,泪目
2019-07-27 23:30:10,0:03:33.800000,f5a0c635,"(254, 241, 2)",5,25,哭着干嘛？愣啊！
2019-07-27 23:30:00,0:00:14.598000,f59f63fd,"(254, 241, 2)",1,25,请收下我的膝盖
2019-07-27 23:29:49,0:00:12.838000,f59f63fd,"(255, 255, 255)",1,25,请收下我的膝盖
2019-07-27 23:29:43,0:02:49.800000,7dc99b8c,"(255, 91, 86)",5,25,补齐了自己的缺点但是也磨平了棱角，这就是人生啊
2019-07-27 23:29:34,0:02:04.698000,7fa09e4b,"(255, 255, 255)",1,25,泪目
2019-07-27 23:29:31,0:03:19.798000,77eb4983,"(255, 255, 255)",1,25,泪目
2019-07-27 23:29:19,0:00:45.651000,8768cc7c,"(226, 2, 127)",5,25,因为天才生来孤独
2019-07-27 23:29:12,0:02:54.141000,9a34142a,"(0, 152, 67)",5,25,❤️是不是我没把你照顾好❤️
2019-07-27 23:29:03,0:00:12.416000,753ba8b1,"(255, 255, 255)",1,25,最怕鬼畜动了情
2019-07-27 23:29:00,0:02:53.373000,9a34142a,"(0, 160, 234)",5,25,❤️是不是我没把你照顾好❤️
2019-07-27 23:28:59,0:03:37.918000,8ac3023b,"(137, 213, 255)",5,25,黄队这个太强了
2019-07-27 23:28:54,0:03:34.851000,3cb83310,"(255, 255, 255)",1,25,洛温阿特金森
2019-07-27 23:28:51,0:00:31.586000,763e0a41,"(255, 255, 0)",1,25,看我的颜色行事
2019-07-27 23:28:50,0:01:11.992000,a769cdb8,"(255, 255, 255)",1,25,"当所有人都追逐他们想要的东西,只有我的规划是nothing"
2019-07-27 23:28:50,0:02:26.053000,7bfbe2c,"(255, 255, 255)",1,25,绿队要不是遇到了这个 我感觉可以吊打往期所有的黄队 但这次 我一定投海绵宝宝
2019-07-27 23:28:46,0:02:52.434000,9a34142a,"(254, 241, 2)",5,25,❤️是不是我没把你照顾好❤️
2019-07-27 23:28:45,0:00:05.968000,a2c18152,"(226, 2, 127)",1,25,败者食尘！
2019-07-27 23:28:44,0:01:36.735000,11a06a1,"(255, 255, 255)",1,25,泪目
2019-07-27 23:28:36,0:02:09.961000,bcb27236,"(255, 255, 255)",1,25,泪目
2019-07-27 23:28:32,0:02:44.191000,f0e977fd,"(255, 255, 255)",1,25,人生是什么，有人明白有人不明白。
2019-07-27 23:28:19,0:02:41.204000,ba1e815b,"(255, 255, 255)",1,25,好难选啊啊啊啊啊
2019-07-27 23:28:16,0:03:30.913000,f6548484,"(255, 255, 255)",1,25,可怕的未来
2019-07-27 23:28:11,0:00:47.302000,ba2593da,"(254, 3, 2)",5,25,因为天才生来孤独
2019-07-27 23:28:06,0:00:46.761000,a769cdb8,"(255, 255, 255)",1,25,因为天才生来孤独
2019-07-27 23:27:51,0:01:31.683000,4bd162f4,"(255, 255, 255)",1,25,不错
2019-07-27 23:27:46,0:03:40.861000,909d228a,"(255, 255, 255)",1,25,颠覆我对鬼畜的认知
2019-07-27 23:27:43,0:03:34.678000,975b35fe,"(255, 255, 255)",1,25,泪目
2019-07-27 23:27:30,0:02:33.941000,9a34142a,"(254, 241, 2)",5,25,坚持做自己喜欢的事情
2019-07-27 23:27:19,0:00:45.884000,5dc83560,"(255, 255, 255)",1,25,天才生来孤独
2019-07-27 23:27:13,0:02:31.525000,1cfdf653,"(255, 255, 255)",1,25,鬼畜突然变得煽情
2019-07-27 23:26:52,0:02:09.121000,c1df666,"(204, 2, 115)",5,25,泪目
2019-07-27 23:26:38,0:03:38.429000,1b8344da,"(255, 255, 255)",1,25,因为你不知道奋斗
2019-07-27 23:26:33,0:02:02.921000,91bc5d9b,"(255, 255, 255)",1,25,我居然泪目
2019-07-27 23:26:33,0:02:03.458000,ee16130f,"(255, 255, 255)",1,25,有押韵
2019-07-27 23:26:01,0:00:23.293000,3fd4183c,"(0, 152, 67)",5,25,上海Zoo！
2019-07-27 23:25:51,0:01:04.648000,837e95ad,"(255, 255, 255)",1,25,泪目
2019-07-27 23:25:40,0:01:52.300000,ceb67208,"(231, 0, 18)",1,25,泪目
2019-07-27 23:25:34,0:02:26.500000,7dc99b8c,"(255, 91, 86)",5,25,坚持做自己喜欢的事情
2019-07-27 23:25:20,0:02:42.721000,f15d524f,"(255, 255, 255)",1,25,镇店之宝
2019-07-27 23:25:18,0:01:54.309000,48b39d7,"(0, 46, 114)",5,18,自由自在，没有烦恼
2019-07-27 23:25:17,0:00:15.077000,dc397aa8,"(255, 255, 255)",1,25,FGNB
2019-07-27 23:25:10,0:02:26.500000,7dc99b8c,"(255, 0, 0)",5,25,坚持做自己喜欢的事情
2019-07-27 23:24:56,0:02:28.641000,f15d524f,"(255, 255, 255)",1,25,坚持做自己喜欢的事情
2019-07-27 23:24:54,0:02:46.330000,c8db4012,"(255, 255, 255)",1,25,做自己爱做的事情！！
2019-07-27 23:24:45,0:00:56.661000,f5b37d76,"(255, 255, 255)",1,25,泪目
2019-07-27 23:24:45,0:00:12.366000,9074a5d6,"(255, 255, 255)",1,25,"先从孤独,再到遇到朋友,然后发现朋友因为金钱与利益从此断链"
2019-07-27 23:24:41,0:02:24.761000,f15d524f,"(255, 255, 255)",1,25,泪目
2019-07-27 23:24:32,0:03:35.587000,c1df666,"(204, 2, 115)",5,25,欢乐是如何消失的呢海绵宝宝
2019-07-27 23:24:23,0:00:22.690000,22301bbd,"(0, 46, 114)",1,25,海下居然有游泳池
2019-07-27 23:24:17,0:03:30.578000,370e5130,"(255, 255, 0)",5,25,泪目
2019-07-27 23:24:13,0:00:07.361000,f810c26a,"(255, 255, 255)",1,25,！
2019-07-27 23:24:02,0:00:08.689000,dd382aa6,"(255, 255, 255)",1,25,我又回来了
2019-07-27 23:24:00,0:00:02.118000,299828f1,"(255, 255, 255)",1,25,变了变了
2019-07-27 23:23:53,0:00:01.901000,2692b874,"(231, 0, 18)",1,25,顶上去（｡ò ∀ ó｡）
2019-07-27 23:23:48,0:00:46.989000,48b39d7,"(255, 255, 255)",5,25,因为天才生来孤独
2019-07-27 23:23:45,0:03:26.059000,c1df666,"(204, 2, 115)",5,25,哭了...
2019-07-27 23:23:20,0:00:23.562000,3c69090a,"(255, 255, 255)",1,25,请收看硬币比点赞多系列
2019-07-27 23:23:19,0:00:08.298000,b5eedec3,"(255, 255, 255)",1,25,火钳刘明
2019-07-27 23:23:19,0:02:28.839000,7d1ce533,"(254, 241, 2)",5,25,坚持做自己喜欢的事情
2019-07-27 23:23:04,0:00:06.478000,b5eedec3,"(255, 255, 255)",1,25,百万助攻
2019-07-27 23:22:47,0:02:40.741000,ce7f06e3,"(255, 255, 255)",1,25,流弊
2019-07-27 23:22:35,0:00:43.429000,9a8c82e2,"(255, 255, 255)",1,25,哭
2019-07-27 23:22:33,0:00:26.520000,7dc99b8c,"(255, 255, 0)",5,25,最怕鬼畜动了情
2019-07-27 23:22:05,0:02:29.117000,86395c10,"(104, 58, 123)",5,25,坚持做自己喜欢的事情
2019-07-27 23:21:34,0:00:02.088000,6a8d3469,"(254, 241, 2)",1,25,黄金处刑曲！
2019-07-27 23:21:06,0:00:19.588000,47d1f65d,"(255, 255, 255)",1,25,第一次投币
2019-07-27 23:20:55,0:03:10.181000,b65d44fc,"(226, 2, 127)",1,25,泪目
